Domain,Web_Traffic,Have_At,SubDomain,Prefix/Suffix,Have_IP,URL_Depth,Redirection,TinyURL,Digit_count,Domain_Age,Label
nesn.com,0,0,0,0,0,3,0,0,6,0,0
uk.ask.com,0,0,1,0,0,2,0,0,2,0,0
manta.com,0,0,0,0,0,3,0,0,1,0,0
stupidcelebrities.net,0,0,0,0,0,4,0,0,10,0,0
genforum.genealogy.com,0,0,0,0,0,3,0,0,3,0,0
linkedin.com,0,0,0,0,0,2,0,0,0,0,0
biomedexperts.com,0,0,0,0,0,3,0,0,7,0,0
fabsugar.com,0,0,0,0,0,1,0,0,7,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,0,0,0
monova.org,0,0,0,0,0,3,0,0,23,0,0
modelscomposites.com,0,0,0,0,0,0,0,0,0,0,0
loot.co.za,0,0,0,0,0,3,0,1,4,0,0
youtube.com,0,0,0,0,0,1,0,0,3,0,0
mylife.com,0,0,0,0,0,1,0,0,0,0,0
richardsonhighschool1962.com,0,0,0,0,0,0,0,0,4,0,0
reunion.com,0,0,0,0,0,1,0,0,6,0,0
bbgblog.com,0,0,0,0,0,3,0,0,8,0,0
newbalance.com,0,0,0,0,0,4,0,0,4,1,0
roadrunnerrecords.com,0,0,0,0,0,2,0,0,5,1,0
uk.linkedin.com,0,0,0,0,0,2,0,0,0,0,0
statesurge.com,0,0,0,0,0,2,0,0,6,0,0
blockbuster.com,0,0,0,0,0,4,0,0,6,1,0
buzzfil.net,0,0,0,0,0,4,0,0,5,1,0
kentdems.com,0,0,0,0,0,0,0,0,0,0,0
thefilmwall.com,0,0,0,0,0,1,0,0,4,0,0
marstonrecords.com,0,0,0,0,0,2,0,0,0,0,0
thestreamcenter.com,0,0,0,0,0,1,0,0,0,1,0
511contracosta.org,0,0,0,0,0,1,0,0,4,0,0
cambridgema.gov,0,0,0,0,0,3,0,0,0,1,0
rafkatunayake.tripod.com,0,0,0,0,0,0,0,0,0,1,0
poptower.com,0,0,0,0,0,1,0,0,0,0,0
findagrave.com,0,0,0,0,0,2,0,0,7,0,0
sites.google.com,0,0,0,0,0,3,0,0,3,0,0
artfact.com,0,0,0,0,0,2,0,1,3,0,0
musicsonglyrics.com,0,0,0,0,0,1,0,0,0,0,0
thehollywoodminute.typepad.com,0,0,0,0,0,0,0,0,0,0,0
roadrunnerrecords.com,0,0,0,0,0,2,0,0,6,1,0
fat-tone-guitars.amazonwebstore.com,0,0,0,1,0,0,0,0,0,0,0
youtube.com,0,0,0,0,0,1,0,0,3,0,0
oldmags.com,0,0,0,0,0,2,0,0,4,0,0
therapyjobs.com,0,0,0,0,0,2,0,0,3,0,0
en.wikipedia.org,0,0,0,0,0,4,0,0,2,0,0
chacha.com,0,0,0,0,0,2,0,0,0,0,0
youtube.com,0,0,0,0,0,1,0,0,1,0,0
freepages.genealogy.rootsweb.ancestry.com,0,0,1,0,0,2,0,0,0,0,0
redsports.sg,1,0,0,0,0,4,0,0,9,1,0
linkedin.com,0,0,0,0,0,5,0,0,7,0,0
ifttt.com,0,0,0,0,0,2,0,1,6,0,0
wlv.ac.uk,1,0,0,0,0,0,0,0,0,1,0
adultfilmdatabase.com,0,0,0,0,0,0,0,0,0,0,0
olx.in,0,0,0,0,0,3,0,0,2,0,0
itunes.apple.com,0,0,0,0,0,4,0,0,8,1,0
content.usatoday.com,0,0,0,0,0,8,0,0,8,0,0
ve3d.ign.com,0,0,0,0,0,4,0,0,6,1,0
tobogo.net,0,0,0,0,0,2,0,0,6,0,0
digg.com,0,0,0,0,0,2,0,0,0,0,0
usi.edu,0,0,0,0,0,4,0,0,0,1,0
dcunited.com,0,0,0,0,0,2,0,0,0,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,0,0,0
pul.se,0,0,0,0,0,1,0,0,7,0,0
ebookbyte.com,0,0,0,0,0,1,0,0,4,0,0
media.inspirationalfilms.com,0,0,0,0,0,0,0,0,2,0,0
genealogytrails.com,0,0,0,0,0,3,0,0,0,0,0
quizlet.com,0,0,0,0,0,1,0,1,13,0,0
chacha.com,0,0,0,0,0,2,0,0,0,0,0
123people.com,0,0,0,0,0,2,0,0,3,0,0
docstoc.com,0,0,0,0,0,3,0,0,14,0,0
nhs.uk,1,0,0,0,0,5,0,0,0,1,0
wattsupwiththat.com,0,0,0,0,0,4,0,1,8,0,0
rrdengineering.com,0,0,0,0,0,1,0,0,0,0,0
youtube.com,0,0,0,0,0,1,0,0,4,0,0
mcomet.com,0,0,0,0,0,2,0,1,6,0,0
recordsofwar.com,0,0,0,0,0,3,0,0,1,0,0
fredmcc.blogspot.com,1,0,0,0,0,3,0,1,6,1,0
moniquesglassboutique.com,1,0,0,0,0,3,0,0,12,1,0
rogueempiremma.com,1,0,0,0,0,0,0,0,0,1,0
loopnet.com,0,0,0,0,0,3,0,1,14,0,0
torcache.net,0,0,1,0,0,2,0,0,34,0,0
californiaclosets.com,0,0,0,0,0,0,0,0,0,0,0
roydupuis-online.com,1,0,0,1,0,3,0,0,6,0,0
8asians.com,0,0,0,0,0,4,0,0,9,0,0
discoverhemet.com,1,0,0,0,0,1,0,1,0,1,0
sourcewatch.org,0,0,0,0,0,1,0,0,0,0,0
aviation.com,0,0,0,0,0,2,0,0,0,0,0
purecornwall.co.uk,0,0,0,0,0,0,0,0,0,0,0
brianfogarty.com,1,0,0,0,0,0,0,0,0,0,0
facebook.com,0,0,0,0,0,1,0,0,0,0,0
linkedin.com,0,0,0,0,0,3,0,0,0,0,0
theskichannel.com,0,0,0,0,0,4,0,0,8,0,0
spiritus-temporis.com,0,0,0,1,0,2,0,0,2,0,0
ksparanormalresearchsociety.com,1,0,0,0,0,0,0,0,0,0,0
gliac.org,0,0,0,0,0,5,0,0,8,0,0
ohiowind.org,1,0,0,0,0,0,0,0,0,0,0
kclabor.org,0,0,0,0,0,1,0,0,0,0,0
helocpaymentcalculator.com,0,0,0,0,0,1,0,0,0,0,0
cylex.ca,1,0,0,0,0,2,0,0,8,0,0
mylife.com,0,0,0,0,0,4,0,0,0,0,0
grouprecipes.com,0,0,0,0,0,2,0,0,5,0,0
en.wikipedia.org,0,0,0,0,0,2,0,0,4,0,0
